id_registro,fuente_verificadora,url_origen,texto_crudo,categoria_original,label
801,boliviaverifica.bo,https://boliviaverifica.bo/nueva-generacion-patriotica-declina-participar-en-la-segunda-vuelta-en-la-paz-y-el-tse-acepta-la-decision/,Nueva Generación Patriótica declina participar en la segunda vuelta en La Paz y el TSE acepta la decisión,Verdadero,Baja
802,boliviaverifica.bo,https://boliviaverifica.bo/edmand-lara-pidio-no-votar-por-candidatos-durante-el-silencio-electoral-y-vulnero-la-normativa/,Edmand Lara pidió no votar por candidatos durante el silencio electoral y vulneró la normativa,Verdadero,Baja
803,boliviaverifica.bo,https://boliviaverifica.bo/si-chile-y-peru-exportan-minerales-por-un-valor-hasta-12-veces-mayor-que-el-de-bolivia/,"Sí, Chile y Perú exportan minerales por un valor hasta 12 veces mayor que el de Bolivia",Verdadero,Baja
804,boliviaverifica.bo,https://boliviaverifica.bo/jorge-quiroga-si-recibio-una-amnistia-de-evo-morales-como-dijo-rodrigo-paz/,"Jorge Quiroga sí recibió una amnistía de Evo Morales, como dijo Rodrigo Paz",Verdadero,Baja
805,boliviaverifica.bo,https://boliviaverifica.bo/lo-que-dijo-lara-es-cierto-las-multas-por-incendios-forestales-en-bolivia-pueden-ser-de-apenas-bs-2/,Lo que dijo Lara es cierto: las multas por incendios forestales en Bolivia pueden ser de apenas Bs 2,Verdadero,Baja
806,boliviaverifica.bo,https://boliviaverifica.bo/un-juez-en-bolivia-puede-tener-hasta-1-500-causas-al-ano-como-afirmo-juan-pablo-velasco/,"Un juez en Bolivia puede tener hasta 1.500 causas al año, como afirmó Juan Pablo Velasco",Verdadero,Baja
807,boliviaverifica.bo,https://boliviaverifica.bo/mas-de-300-mujeres-mueren-en-bolivia-por-causas-relacionadas-con-la-maternidad-como-afirmo-velasco/,"Más de 300 mujeres mueren en Bolivia por causas relacionadas con la maternidad, como afirmó Velasco",Verdadero,Baja
808,boliviaverifica.bo,https://boliviaverifica.bo/desde-la-cuenta-de-jp-velasco-en-x-se-lanzaron-dichos-racistas-hace-15-anos/,Desde la cuenta de JP Velasco en X se lanzaron dichos racistas hace 15 años,Verdadero,Baja
809,boliviaverifica.bo,https://boliviaverifica.bo/antes-de-que-el-pdc-anunciara-que-limitaran-la-asistencia-a-los-debates-paz-si-dijo-que-quien-no-debata-no-tiene-derecho-a-pedir-el-voto/,"Antes de que el PDC anunciara que limitarán la asistencia a los debates, Paz sí dijo que quien no debata no tiene derecho a pedir el voto",Verdadero,Baja
810,boliviaverifica.bo,https://boliviaverifica.bo/esposa-de-lara-y-hermana-de-quiroga-asumiran-como-diputadas-en-la-gestion-2025-2030/,Esposa de Lara y hermana de Quiroga asumirán como diputadas en la gestión 2025-2030,Verdadero,Baja
811,boliviaverifica.bo,https://boliviaverifica.bo/el-video-donde-lara-dice-que-paz-hizo-una-pesima-gestion-en-tarija-es-autentico-aunque-data-de-2024/,"El video donde Lara dice que Paz hizo una “pésima gestión” en Tarija es auténtico, aunque data de 2024",Verdadero,Baja
812,boliviaverifica.bo,https://boliviaverifica.bo/si-el-tse-prohibe-el-ingreso-de-telefonos-celulares-con-camara-a-recintos-de-votacion/,"Sí, el TSE prohíbe el ingreso de teléfonos celulares con cámara a recintos de votación",Verdadero,Baja
813,boliviaverifica.bo,https://boliviaverifica.bo/verdadero-el-unico-documento-valido-para-votar-en-las-elecciones-es-el-carnet-de-identidad-fisico/,Verdadero: el único documento valido para votar en las elecciones es el carnet de identidad físico,Verdadero,Baja
814,boliviaverifica.bo,https://boliviaverifica.bo/si-guabira-es-la-empresa-mas-exitosa-del-norte-cruceno-e-incremento-su-produccion-desde-su-privatizacion/,"Sí, Guabirá es la empresa más exitosa del norte cruceño e incrementó su producción desde su privatización",Verdadero,Baja
