id_registro,fecha_publicacion,fuente_verificadora,url_origen,texto_crudo,categoria_original
1,,chequeabolivia.bo,https://chequeabolivia.bo/ni-el-alteno-ni-unitel-publicaron-que-el-caso-narcomaletas-estaria-financiando-la-campana-de-gary,Ni El Alteño ni Unitel publicaron que el caso “narcomaletas” estaría financiando la campaña de Gary Áñez,Falso
2,,chequeabolivia.bo,https://chequeabolivia.bo/encuesta-falsa-posiciona-riony-villarroel-en-primer-lugar-en-la-alcaldia-de-sacaba,Encuesta falsa posiciona a Riony Villarroel en primer lugar en la Alcaldía de Sacaba,Falso
3,,chequeabolivia.bo,https://chequeabolivia.bo/imagen-falsa-atribuye-al-noticiero-aqui-en-vivo-una-declaracion-de-ruth-nina-agradeciendo-jorge,Imagen falsa atribuye al noticiero “Aquí en Vivo” una declaración de Ruth Nina agradeciendo a Jorge “Tuto” Quiroga,Falso
4,,chequeabolivia.bo,https://chequeabolivia.bo/unitel-no-publico-que-jorge-tuto-quiroga-gano-el-debate-presidencial,Unitel no publicó que Jorge “Tuto” Quiroga ganó el debate presidencial,Falso
5,,chequeabolivia.bo,https://chequeabolivia.bo/los-videos-de-marcelo-claure-y-samuel-doria-medina-que-prometen-miles-de-bolivianos-son-falsos,Los videos de Marcelo Claure y Samuel Doria Medina que prometen miles de bolivianos son falsos,Falso
6,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/es-falso-que-la-dea-capturo-evo-morales-en-las-ultimas-horas,Es falso que la DEA “capturó” a Evo Morales en las últimas horas,Falso
7,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/esta-imagen-de-campesinos-y-transportistas-pidiendo-evo-que-deje-de-bloquear-fue-hecha-con-ia,Esta imagen de campesinos y transportistas pidiendo a Evo que deje de bloquear fue hecha con IA,Falso
8,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/viceministro-de-regimen-interior-utiliza-audio-de-2025-para-denunciar-que-evo-quiere-desestabilizar,Viceministro de Régimen Interior utiliza audio de 2025 para denunciar que Evo quiere “desestabilizar” el gobierno de Paz,Falso
9,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/unitel-no-publico-esta-cita-de-evo-afirmando-que-busca-que-paz-renuncie-con-ayuda-de-la-cob,Unitel no publicó esta cita de Evo afirmando que busca que Paz renuncie con ayuda de la COB,Falso
10,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/es-falso-que-el-gobierno-de-bolivia-anuncio-construccion-de-fabricas-textiles-para-jubilados,Es falso que el Gobierno de Bolivia anunció construcción de fábricas textiles para jubilados,Falso
11,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/es-falso-que-medio-de-honduras-anuncio-que-jorge-tuto-quiroga-gano-las-elecciones,Es falso que medio de Honduras anunció que Jorge “Tuto” Quiroga ganó las elecciones,Falso
12,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/circula-encuesta-falsa-de-empresa-extranjera-poniendo-samuel-doria-medina-como-ganador,Circula encuesta falsa de empresa extranjera poniendo a Samuel Doria Medina como ganador,Falso
13,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/encuesta-falsa-de-whatsapp-posiciona-jaime-dunn-como-favorito-para-las-elecciones,Encuesta falsa de WhatsApp posiciona a Jaime Dunn como favorito para las elecciones,Falso
14,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/encuesta-que-posiciona-jorge-tuto-quiroga-como-favorito-es-falsa,Encuesta que posiciona a Jorge Tuto Quiroga como favorito es falsa,Falso
15,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-postergaron-las-elecciones-judiciales-para-el-29-de-diciembre,Es falso que postergaron las Elecciones Judiciales para el 29 de diciembre,Falso
16,,chequeabolivia.bo,https://chequeabolivia.bo/circula-una-encuesta-falsa-sobre-las-elecciones-judiciales-atribuida-fundacion-jubileo,Circula una encuesta falsa sobre las Elecciones Judiciales atribuida a Fundación Jubileo,Falso
17,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-ejecutivo-de-la-fstmb-haya-dicho-que-las-movilizaciones-son-apoyadas-por-evo-morales,Es falso que ejecutivo de la FSTMB haya dicho que las movilizaciones son apoyadas por Evo Morales,Falso
18,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-sobrevolaron-aviones-rusos-en-posesion-ancestral-de-leonardo-loza,Es falso que sobrevolaron aviones rusos en posesión ancestral de Leonardo Loza,Falso
19,,chequeabolivia.bo,https://chequeabolivia.bo/tuto-quiroga-no-anuncio-su-candidatura-las-proximas-elecciones-tras-conocer-la-victoria-de-velasco,Tuto Quiroga no anunció su candidatura a las próximas elecciones tras conocer la victoria de Velasco,Falso
20,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-evo-morales-culpo-la-prensa-por-investigar-la-corrupcion-y-ocasionar-la-muerte-de,Es falso que Evo Morales culpó a la prensa por investigar la corrupción y ocasionar la muerte de exgerente de YLB,Falso
21,,chequeabolivia.bo,https://chequeabolivia.bo/evo-no-admitio-que-utiliza-menores-para-traficar-droga,Evo no admitió que utiliza a menores para traficar droga,Falso
22,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-carlos-valverde-promociona-un-producto-que-le-devolvio-la-vision,Es falso que Carlos Valverde promociona un producto que le “devolvió la visión”,Falso
23,,chequeabolivia.bo,https://chequeabolivia.bo/censo-2024-circulan-instrucciones-equivocadas-sobre-preguntas-de-identificacion-etnica-e-idiomas,Censo 2024: Circulan instrucciones equivocadas sobre preguntas de identificación étnica e idiomas indígenas,Falso
24,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-autoridades-hayan-realizado-gestos-del-partido-libre-en-la-inauguracion-de-la-clinica,Es falso que autoridades hayan realizado gestos del partido LIBRE en la inauguración de la Clínica Las Américas en Santa Cruz,Falso
25,,chequeabolivia.bo,https://chequeabolivia.bo/esta-encuesta-de-intencion-de-voto-que-da-como-ganadora-maria-rene-soruco-en-tarija-es-falsa,Esta encuesta de intención de voto que da como ganadora a María René Soruco en Tarija es falsa,Falso
26,,chequeabolivia.bo,https://chequeabolivia.bo/junior-arias-no-informo-que-el-candidato-la-gobernacion-de-beni-declino-su-candidatura-la-segunda,Junior Arias no informó que el candidato a la Gobernación de Beni declinó su candidatura a la segunda vuelta,Falso
27,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-rodrigo-paz-entrego-dinero-un-candidato-de-beni-para-promover-guerra-sucia,Es falso que Rodrigo Paz entregó dinero a un candidato de Beni para promover guerra sucia,Falso
28,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-el-tse-prohibio-publicar-unitel-encuesta-de-santa-cruz,Es falso que el TSE prohibió publicar a Unitel encuesta de Santa Cruz,Falso
29,,chequeabolivia.bo,https://chequeabolivia.bo/el-deber-no-informo-que-evo-trasladaba-dinero-para-pagar-los-bloqueadores,El Deber no informó que Evo trasladaba dinero para pagar a los bloqueadores,Falso
30,,chequeabolivia.bo,https://chequeabolivia.bo/se-difunde-una-nomina-falsa-de-candidatos-para-las-elecciones-de-2025,Se difunde una nómina falsa de candidatos para las elecciones de 2025,Falso
31,,chequeabolivia.bo,https://chequeabolivia.bo/falso-evo-no-dijo-que-el-imperio-romano-no-hizo-valer-su-congreso,Falso: Evo no dijo que el Imperio Romano no hizo “valer su Congreso”,Falso
32,,chequeabolivia.bo,https://chequeabolivia.bo/encuesta-en-la-que-ritter-figura-con-65-de-intencion-de-voto-es-falsa,Encuesta en la que Ritter figura con 65% de intención de voto es falsa,Falso
33,,chequeabolivia.bo,https://chequeabolivia.bo/encuesta-en-la-que-jp-velasco-tiene-65-de-intencion-de-voto-no-fue-publicada-por-ipsos-ciesmori,Encuesta en la que JP Velasco tiene 65% de intención de voto no fue publicada por Ipsos Ciesmori,Falso
34,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-estas-fotos-muestran-sin-vida-dirigente-que-sugirio-asilo-para-evo-morales,Es falso que estas fotos muestran sin vida a dirigente que sugirió asilo para Evo Morales,Falso
35,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-juan-pablo-velasco-dijo-que-evo-morales-era-un-gran-hombre,Es falso que Juan Pablo Velasco dijo que Evo Morales era un “gran hombre”,Falso
36,,chequeabolivia.bo,https://chequeabolivia.bo/falso-elmer-hermosa-no-afirmo-que-los-70s-son-los-nuevos-30s,Falso: Elmer Hermosa no afirmó que los “70s son los nuevos 30s”,Falso
37,,chequeabolivia.bo,https://chequeabolivia.bo/el-deber-no-publico-que-camacho-califico-de-sinverguenza-carolina-rivera,El Deber no publicó que Camacho calificó de sinvergüenza a Carolina Rivera,Falso
38,,chequeabolivia.bo,https://chequeabolivia.bo/no-hay-registros-de-la-cita-viral-de-marcelo-martins-mostrando-que-califico-los-masistas-de-idiotas,No hay registros de la cita viral de Marcelo Martins mostrando que calificó a los masistas de “idiotas” e “ignorantes”,Falso
39,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-el-deber-informo-que-evo-recomendo-cobrar-impuesto-los-bolivianos-que-leen-libros-y,Es falso que El Deber informó que Evo recomendó cobrar impuesto a los bolivianos que leen libros y periódicos,Falso
40,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-por-mil-votos-leonardo-loza-no-fue-segunda-vuelta-como-dice-virginio-lema,Es falso que por mil votos Leonardo Loza no fue a segunda vuelta como dice Virginio Lema,Falso
41,,chequeabolivia.bo,https://chequeabolivia.bo/unitel-no-publico-nota-afirmando-que-hay-evidencias-de-que-paz-incurrio-en-fraude-favor-de-revilla,Unitel no publicó nota afirmando que hay evidencias de que Paz incurrió en fraude a favor de Revilla,Falso
42,,chequeabolivia.bo,https://chequeabolivia.bo/no-se-detuvo-el-conteo-de-votos-la-gobernacion-de-cochabamba-para-forzar-una-segunda-vuelta-como,No se detuvo el conteo de votos a la Gobernación de Cochabamba para forzar una segunda vuelta como dice “análisis” de Gemini,Falso
43,,chequeabolivia.bo,https://chequeabolivia.bo/es-falso-que-un-candidato-concejal-de-cochabamba-renuncio-para-ser-sustituido-por-el-hijo-de,Es falso que un candidato a concejal de Cochabamba renunció para ser sustituido por el hijo de Manfred Reyes Villa,Falso
44,,chequeabolivia.bo,https://chequeabolivia.bo/carlos-mesa-no-debemos-ir-eleccion-en-agosto-debemos-postergarlo-hasta-el-2021,"Carlos Mesa: “No debemos ir a elección en agosto, debemos postergarlo hasta el 2021”",Falso
45,,chequeabolivia.bo,https://chequeabolivia.bo/paz-zamora-acusa-al-gobierno-de-anez-de-usar-el-coronavirus-para-seguir-en-el-poder-y-pide,Paz Zamora acusa al Gobierno de Áñez de usar el Coronavirus para seguir en el poder y pide elecciones,Falso
46,,chequeabolivia.bo,https://chequeabolivia.bo/carlos-mesa-trasladara-la-sede-de-gobierno-sucre,Carlos Mesa trasladará la sede de gobierno a Sucre,Falso
47,,chequeabolivia.bo,https://chequeabolivia.bo/carlos-mesa-planea-vender-recursos-naturales-empresa-chilena,Carlos Mesa planea vender recursos naturales a empresa chilena,Falso
48,,chequeabolivia.bo,https://chequeabolivia.bo/index%2Ephp/esta-encuesta-que-ubica-waldo-albarracin-como-ganador-de-la-alcaldia-de-la-paz-es-falsa,Esta encuesta que ubica a Waldo Albarracín como ganador de la Alcaldía de La Paz es falsa,Falso
49,,chequeabolivia.bo,https://chequeabolivia.bo/encuesta-muestra-un-candidato-inexistente-con-mayoria-de-votos-para-la-alcaldia-en-el-alto,Encuesta muestra a un candidato inexistente con mayoría de votos para la alcaldía en El Alto,Falso
